shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,People's Government,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Our Georgia,Georgian Dream
District,49,49,21160,38.79,1,16,22,4,,11,25.58,1.91,,1,2.33,2.0,,,,,0,0,0,0,43,33.33,3.42,0.04,2.83,0.12,38.68,1.07,0.07,3.63,4.57,0.04,0.06,0.12,0.04,0.09,0.1,0.12,0.54,0.09,0.02,0.02,0.5,4.38,0.08,0.03,39.23
District,50,50,30335,57.86,2,31,27,5,,9,13.85,4.33,,3,4.62,1.67,,,,,0,0,0,0,65,33.33,3.17,0.08,4.96,0.13,30.63,2.58,0.06,4.32,2.61,0.04,0.09,0.06,0.04,0.11,0.09,0.1,0.8,0.05,0.03,0.04,0.96,1.63,0.08,0.06,47.17
District,51,51,27919,58.86,4,39,26,4,,17,23.29,1.88,,2,2.74,3.5,,,,,0,0,1,1,73,33.33,4.97,0.16,2.66,0.08,26.66,4.17,0.06,2.86,2.77,0.03,0.05,0.08,0.03,0.05,0.13,0.08,1.59,0.04,0.01,0.03,0.77,4.67,0.03,0.02,47.91
District,52,52,27007,53.9,0,22,17,7,,7,15.22,2.86,,2,4.35,1.5,,,,,0,0,0,0,46,33.33,2.31,0.05,1.78,0.08,28.89,1.65,0.06,4.09,3.73,0.04,0.1,0.11,0.04,0.1,0.1,0.11,0.41,0.03,0.1,0.09,0.47,3.12,0.08,0.04,52.35
District,53,53,25144,58.24,9,40,6,0,,5,9.09,1.6,,0,0.0,,,,,,1,1,0,2,55,33.33,1.3,0.02,1.21,0.14,4.95,0.81,0.02,2.22,1.12,0.02,0.05,0.1,0.0,0.08,0.02,0.17,1.15,0.01,0.0,0.03,0.16,1.3,0.03,0.04,85.02
District,54,54,31191,63.52,0,24,27,9,,12,20.0,2.67,,1,1.67,1.0,,,,,0,0,1,1,60,33.33,9.87,0.04,1.83,0.08,24.31,1.25,0.06,1.66,1.57,0.03,0.04,0.1,0.03,0.05,0.04,0.1,0.74,0.02,0.02,0.01,0.22,2.62,0.03,0.04,55.14
District,55,55,25784,54.84,0,29,20,1,,8,16.0,1.25,,0,0.0,,,,,,0,0,0,0,50,33.33,3.84,0.04,1.91,0.06,28.85,1.68,0.05,2.48,2.44,0.03,0.04,0.33,0.02,0.03,0.07,0.1,0.75,0.03,0.03,0.01,0.4,2.83,0.09,0.04,53.83
District,56,56,21494,49.09,2,18,22,16,,12,20.69,1.42,,1,1.72,1.0,,,,,0,0,0,0,58,33.33,4.14,0.08,3.9,0.07,16.53,1.52,0.07,5.76,2.55,0.03,0.11,0.11,0.03,0.37,0.12,0.97,0.98,0.01,0.06,0.02,5.47,10.66,0.07,0.04,46.26
District,57,57,26934,51.67,2,28,24,12,,15,22.73,3.27,,0,0.0,,,,,,0,0,0,0,66,33.33,2.4,0.03,3.02,0.78,33.24,0.73,0.07,2.35,2.99,0.04,0.05,0.06,0.04,0.08,0.1,0.1,0.92,0.04,0.02,0.01,0.68,4.52,0.06,0.04,47.45
District,58,58,26144,59.89,36,71,36,24,,12,7.19,2.33,,1,0.6,1.0,,,,,0,0,0,0,167,33.33,4.04,0.1,4.44,0.11,17.34,1.79,0.09,6.35,2.69,0.06,0.04,0.21,0.02,0.03,0.1,0.12,1.61,0.04,0.03,0.04,0.88,2.86,0.05,0.03,56.82
District,59,59,28284,56.31,1,26,21,1,,13,26.53,6.69,,0,0.0,,,,,,0,0,0,0,49,33.33,4.52,0.21,4.57,0.08,18.8,0.95,0.05,6.05,2.61,0.11,0.05,0.17,0.02,0.05,0.06,0.11,0.35,0.06,0.01,0.01,0.16,6.68,0.05,0.04,53.94
District,60,60,31862,63.39,2,22,41,13,,11,14.1,1.36,,3,3.85,1.33,,,,,0,0,0,0,78,33.33,7.62,0.07,2.98,0.09,18.35,1.41,0.04,4.8,2.43,0.11,0.06,0.18,0.04,0.09,0.1,0.12,0.26,0.07,0.21,0.03,0.2,2.57,0.09,0.08,57.97
District,61,61,25969,51.11,0,19,22,1,,8,19.05,16.88,,1,2.38,1.0,,,,,0,0,0,0,42,33.33,3.71,0.1,3.24,0.12,25.5,0.86,0.03,3.55,2.7,0.04,0.05,0.11,0.02,0.07,0.08,0.17,0.34,0.06,0.02,0.13,4.5,4.32,0.15,0.02,49.61
District,62,62,29937,58.87,1,21,30,7,,12,20.34,2.83,,0,0.0,,,,,,0,0,0,0,59,33.33,4.75,0.04,2.98,0.12,32.56,0.47,0.09,4.84,1.39,0.02,0.03,0.09,0.08,0.04,0.07,0.04,0.44,0.03,0.02,0.04,0.07,3.71,0.11,0.01,47.84
District,63,63,22766,51.4,0,21,19,7,,13,27.66,5.46,,0,0.0,,,,,,0,0,0,0,47,33.33,6.75,0.04,2.75,0.11,34.4,1.04,0.05,1.58,2.88,0.06,0.01,0.12,0.02,0.04,0.05,0.27,0.32,0.06,0.03,0.01,0.87,5.06,0.1,0.02,43.06
District,64,64,25251,56.18,0,10,27,10,,10,21.28,2.4,,1,2.13,21.0,,,,,0,0,0,0,47,33.33,4.7,0.04,1.98,0.11,36.98,0.67,0.09,5.33,1.9,0.05,0.03,0.13,0.01,0.08,0.04,0.07,0.22,0.05,0.0,0.02,0.07,3.72,0.09,0.04,43.55
District,65,65,20574,39.1,1,19,18,5,,18,41.86,2.94,,5,11.63,10.8,,,,,0,0,0,0,43,33.33,4.76,0.05,1.46,0.05,35.69,2.04,0.02,2.18,1.48,0.0,0.03,0.04,0.03,0.02,0.05,0.05,0.06,0.05,0.03,0.01,0.09,9.67,0.24,0.02,41.86
District,66,66,22792,46.65,1,14,25,5,,11,24.44,4.27,,0,0.0,,,,,,0,0,1,1,45,33.33,2.41,0.03,1.01,0.1,44.8,0.61,0.09,2.27,1.36,0.04,0.02,0.07,0.02,0.03,0.03,0.06,0.07,0.04,0.01,0.01,0.07,2.21,0.09,0.02,44.34
District,67,67,27928,53.39,1,10,32,12,,20,36.36,3.5,,0,0.0,,,,,,0,0,0,0,55,33.33,4.07,0.14,1.17,0.12,35.74,1.31,0.2,3.1,2.1,0.05,0.23,0.13,0.01,0.08,0.07,0.09,0.06,0.04,0.06,0.04,0.34,3.29,0.05,0.02,47.22
District,68,68,23683,48.13,2,23,13,0,,13,34.21,1.92,,1,2.63,8.0,,,,,0,0,0,0,38,33.33,3.1,0.03,5.94,0.08,33.42,1.16,0.04,6.14,2.53,0.01,0.03,0.09,0.0,0.24,0.05,0.27,0.71,0.03,0.19,0.0,0.74,3.04,0.0,0.03,42.05
District,69,69,23487,46.95,0,23,13,0,,18,50.0,2.61,,2,5.56,1.0,,,,,0,0,0,0,36,33.33,2.67,0.07,5.89,0.17,27.69,2.04,0.13,6.52,2.53,0.02,0.05,0.26,0.02,0.17,0.05,0.35,0.61,0.03,0.18,0.03,1.12,4.56,0.22,0.05,44.37
