shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),State for the People,Progressive Democratic Movement,Democratic Movement,Georgian Group,United National Movement,Republican Party,For United Georgia,Alliance of Patriots,Labour,Communist Party - Stalin,Georgia for Peace,Socialist Workers Party,United Communist Party,Georgia,Georgian Idea,Industrialists - Our Homeland,Merab Kostava Society,Ours - People's Party,Leftist Alliance,National Forum,Free Democrats,In the Name of the Lord,Georgian Dream,Initiative Group
District,52,52,27106,54.1,1,25,18,2,,23,50.0,6.13,,2,4.35,3.0,,,,,0,0,0,0,46,50.0,0.0,0.0,0.0,0.0,27.78,2.45,0.0,1.94,1.21,0.2,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.65,1.6,0.0,43.72,19.77
District,53,53,24963,57.82,5,28,22,0,,7,12.73,2.29,,0,0.0,,,,,,0,0,0,0,55,50.0,1.74,0.0,0.0,0.0,5.52,0.0,0.43,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.78,1.18,0.0,88.9,0.0
District,54,54,29126,63.18,1,16,32,8,,25,43.86,2.84,,0,0.0,,,,,,0,0,0,0,57,50.0,12.12,0.0,0.0,0.0,22.19,0.0,0.0,1.33,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3.68,0.0,59.18,0.0
District,55,55,25789,54.85,1,26,22,1,,24,48.0,2.83,,0,0.0,,,,,,0,0,0,0,50,50.0,3.6,0.0,0.0,0.0,33.21,0.0,0.25,1.53,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,1.61,0.0,57.48,0.0
District,56,56,21408,48.89,0,15,22,21,,26,44.83,1.96,,0,0.0,,,,,,0,0,0,0,58,50.0,0.0,0.0,2.2,0.0,16.81,3.18,0.0,7.33,0.0,0.0,0.0,0.0,0.81,0.0,1.63,0.0,0.0,0.0,0.0,13.28,19.06,0.0,34.25,1.2
District,57,57,26490,50.76,1,8,33,24,,34,51.52,5.06,,2,3.03,57.0,,,,,0,0,0,0,66,50.0,2.33,0.0,0.0,0.0,32.17,0.0,0.0,3.27,2.09,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,1.86,4.76,0.0,52.73,0.0
District,58,58,26002,59.57,30,60,46,31,,68,40.72,2.1,,0,0.0,,,,,,0,0,0,0,167,50.0,4.61,0.43,0.0,0.0,14.98,0.0,0.0,12.61,1.86,0.0,0.33,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.65,3.6,0.0,57.89,0.0
District,59,59,27332,56.13,1,19,24,4,,28,58.33,3.89,,1,2.08,56.0,,,,,0,0,0,0,48,50.0,4.2,0.0,7.21,0.0,17.77,0.95,0.0,6.87,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.34,0.0,52.64,1.14
District,60,60,31414,63.42,2,28,35,12,,33,42.86,1.76,,1,1.3,1.0,,,,,0,0,0,0,77,50.0,6.98,0.15,0.0,0.0,12.86,0.0,0.0,1.44,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.08,0.0,0.0,0.0,46.86,30.52
District,61,61,26723,51.18,0,17,24,2,,24,55.81,2.42,,1,2.33,6.0,,,,,0,0,0,0,43,50.0,3.26,0.42,0.0,0.0,25.66,1.55,0.0,3.62,1.17,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,11.03,3.8,0.17,48.36,0.48
