region,district_name,district_id,precinct_id,num_possible_voters,num_special_voters,num_ballots,num_unused_ballots,num_spoiled_ballots,num_votes,num_valid_votes,num_invalid_votes,Free Georgia,United National Movement,Justice for Georgia,Christian Democratic Movement,New Rights,Labour Party,Georgian Dream
,,81,41,1335,5,1200,,,764,730,33,4,340,0,22,4,9,351
,,81,42,1270,4,1100,,,676,652,24,0,199,0,39,0,11,403
,,81,43,1497,6,1400,,,863,829,30,6,316,4,11,2,16,474
,,81,44,1540,5,1450,,,810,783,24,4,334,3,22,8,6,406
,,81,45,772,1,700,,,458,435,23,1,189,1,29,7,5,203
,,81,46,1567,0,1450,,,982,970,12,2,401,0,14,0,19,534
,,81,47,1141,3,1050,,,694,676,18,3,234,1,22,9,5,402
,,81,48,1254,8,1150,,,703,685,17,5,191,0,34,6,6,443
,,81,49,836,3,750,,,506,498,8,1,143,0,14,10,13,317
,,81,50,1106,3,1000,,,626,606,19,3,192,2,15,9,5,380
,,81,51,742,8,650,,,448,441,7,2,113,0,8,11,7,300
,,81,52,848,11,700,,,476,460,15,3,165,3,13,1,8,267
,,81,53,984,10,850,,,558,530,28,11,151,9,5,1,9,344
,,81,54,1289,10,1150,,,736,695,40,11,210,7,4,0,11,452
,,81,55,721,6,650,,,415,400,15,4,124,1,6,10,5,250
,,81,56,971,0,900,,,610,579,31,0,402,0,27,1,8,141
,,81,57,731,5,650,,,424,406,17,0,198,2,10,1,3,192
,,81,58,987,4,1050,,,583,543,39,5,300,3,20,0,16,199
,,81,59,1404,3,1300,,,897,868,29,14,267,2,66,4,11,504
,,81,60,807,3,700,,,552,538,14,2,129,1,17,1,6,382
,,81,61,1137,5,750,,,496,480,16,3,250,0,47,0,4,176
,,81,62,734,4,650,,,453,439,13,1,166,1,12,0,6,253
,,81,63,789,14,700,,,441,418,22,4,148,0,12,8,1,245
,,81,64,747,8,650,,,433,402,31,2,218,1,16,0,6,159
,,81,65,939,13,850,,,114,112,2,0,51,0,0,0,2,59
,,82,1,686,16,650,,,450,433,14,4,216,0,31,31,7,144
,,82,2,229,6,250,,,127,124,3,1,57,1,10,5,11,39
,,82,3,333,4,350,,,220,214,6,0,120,4,15,5,2,68
,,82,4,471,5,500,,,276,260,12,7,146,4,13,4,10,76
