"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","Non-Parliamentary Opposition","Armed Veterans Patriots","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Self-governance to People","Reformers","Future Georgia","Georgian Party","Christian Democrats","Unity Hall","Way of Georgia","Labour Party","Party of People","Merab Kostava Society","Georgian Dream"
"District","19","Tianeti","6319","58.0097","2","11","5","2",\N,"4","20.0000","3.7500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","20","100.0000","0.0000","0.0000","29.8623","3.5449","10.7137","4.5260","3.8614","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","47.2543"
"District","44","Ambrolauri","5909","61.1318","1","15","9","10",\N,"2","5.7143","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","35","94.5946","0.0000","0.0000","8.7324","15.4849","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","75.7319"
"District","46","Lentekhi","3642","61.5619","2","13","6","2",\N,"1","4.3478","3.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","23","100.0000","0.0000","0.0000","0.0000","11.1752","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","27.0181","0.0000","0.0000","0.0000","0.0000","0.0000","61.7243"
"District","43","Oni","3779","58.2819","5","5","6","7",\N,"2","8.6957","1.0000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","23","100.0000","8.0180","0.0000","20.2964","11.9344","0.6616","5.9540","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","53.0828"
"District","45","Tsageri","6545","57.2867","3","8","17","13",\N,"0","0.0000",\N,\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","41","100.0000","0.0000","0.0000","0.0000","28.6020","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","71.3980"
"District","63","Abasha","12823","59.7447","0","2","9","13",\N,"9","37.5000","3.5556",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","24","100.0000","0.0000","0.0000","4.0708","26.3433","0.0000","3.0804","5.2718","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","60.9842"
"District","69","Chkhorotsku","12986","57.6925","0","3","10","14",\N,"6","22.2222","2.6667",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","27","100.0000","0.0000","0.0000","0.0000","27.5219","0.0000","10.0185","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","62.3364"
"District","66","Khobi","15808","55.5017","0","7","13","12",\N,"4","12.5000","1.5000",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","32","100.0000","9.8684","0.0000","9.3877","23.3489","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","57.3570"
"District","65","Martvili","21037","62.5357","1","13","13","12",\N,"7","17.9487","6.2857",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","39","100.0000","10.3294","0.0000","25.8972","17.7639","0.0000","0.0000","0.0000","0.4516","0.0000","0.0000","0.0000","0.0000","0.3423","0.0000","0.0000","0.0000","45.0064"
"District","47","Mestia","4777","57.9592","11","10","8","11",\N,"4","10.0000","3.2500",\N,"0","0.0000",\N,\N,\N,\N,\N,"0","0","0","0","40","100.0000","0.0000","0.0000","0.0000","0.0000","17.0609","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","12.9579","0.0000","0.0000","0.0000","69.7090"
