"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Free Georgia","National Democratic Party of Georgia","United National Movement","Movement for Fair Georgia","Freedom Party","Merab Kostava Society","Labour Council of Georgia","Labour","Georgian Dream","Ioseb Manjavidze","Zviad Chitishvili","Roman Robakidze","Zurab Mskhvilidze"
"Tbilisi Precinct","55","9-55","565","38.3311","16.9912","0.0000","19.6460","0.0000","0.1770","0.1770","0.5310","1.7699","31.8584","11.5044","17.3451","0.0000","0.0000"
"Tbilisi Precinct","56","9-56","492","34.6723","12.6016","0.0000","25.6098","0.0000","0.2033","0.2033","0.2033","1.4228","40.4472","16.2602","3.0488","0.0000","0.0000"
"Tbilisi Precinct","57","9-57","360","23.2108","30.8333","0.0000","20.2778","0.0000","0.0000","0.2778","0.0000","2.5000","28.3333","9.7222","8.0556","0.0000","0.0000"
"Tbilisi Precinct","58","9-58","472","32.1307","17.5847","0.0000","11.8644","0.0000","0.2119","0.0000","0.4237","4.6610","43.0085","18.0085","4.2373","0.0000","0.0000"
"Tbilisi Precinct","59","9-59","364","23.2439","21.1538","0.0000","15.6593","0.0000","0.2747","0.0000","0.2747","3.5714","45.6044","10.1648","3.2967","0.0000","0.0000"
"Tbilisi Precinct","60","9-60","432","29.9376","22.4537","0.0000","12.9630","0.0000","0.0000","0.0000","0.2315","5.3241","35.4167","14.3519","9.2593","0.0000","0.0000"
"Tbilisi Precinct","61","9-61","363","25.1734","15.7025","0.0000","17.3554","0.0000","0.0000","0.0000","0.5510","4.6832","43.2507","9.3664","9.0909","0.0000","0.0000"
"Tbilisi Precinct","62","9-62","369","24.7651","16.2602","0.0000","19.7832","0.0000","0.2710","0.2710","0.5420","2.9810","44.4444","11.6531","3.7940","0.0000","0.0000"
"Tbilisi Precinct","63","9-63","368","25.9155","17.1196","0.0000","16.8478","0.2717","0.2717","0.0000","0.2717","2.9891","46.1957","9.5109","6.5217","0.0000","0.0000"
"Tbilisi Precinct","64","9-64","414","32.9094","15.4589","0.0000","25.3623","0.0000","0.4831","0.0000","0.0000","1.2077","42.9952","4.5894","9.9034","0.0000","0.0000"
