region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,8 - Alliance of Patriots,9 - Self-governance to People,11 - Reformers,13 - Future Georgia,14 - Georgian Party,16 - Christian Democrats,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,41 - Georgian Dream
,13,,18,,685,2,200,386,446,650,21,,,,,,,,4,,32,58,,,,,,,,,,,,11,319
,13,,19,,369,5,106,194,222,350,6,,,,,,,,0,,18,36,,,,,,,,,,,,4,158
,13,,20,,233,20,73,128,137,250,4,,,,,,,,3,,2,58,,,,,,,,,,,,1,69
,13,,21,,892,4,205,440,549,850,9,,,,,,,,33,,33,33,,,,,,,,,,,,109,332
,13,,22,,1408,1,235,610,805,1350,28,,,,,,,,14,,85,75,,,,,,,,,,,,36,566
,13,,23,,656,3,123,258,349,600,17,,,,,,,,3,,57,21,,,,,,,,,,,,27,225
,13,,24,,496,8,130,275,321,500,7,,,,,,,,2,,41,16,,,,,,,,,,,,8,247
,13,,25,,222,7,78,128,144,250,5,,,,,,,,2,,6,34,,,,,,,,,,,,5,92
,13,,26,,843,3,197,437,526,800,21,,,,,,,,9,,17,59,,,,,,,,,,,,9,410
,13,,27,,422,6,119,228,254,450,5,,,,,,,,5,,14,22,,,,,,,,,,,,6,202
,13,,28,,961,3,171,334,476,950,29,,,,,,,,9,,37,43,,,,,,,,,,,,41,317
,13,,29,,1427,24,220,520,693,1400,40,,,,,,,,11,,44,52,,,,,,,,,,,,90,434
,13,,30,,931,4,195,454,532,900,19,,,,,,,,24,,136,72,,,,,,,,,,,,10,271
,13,,31,,1216,4,200,500,618,1150,12,,,,,,,,6,,49,80,,,,,,,,,,,,21,450
,13,,32,,879,7,196,370,467,850,24,,,,,,,,4,,33,87,,,,,,,,,,,,9,310
,13,,33,,643,6,105,240,317,600,12,,,,,,,,5,,43,31,,,,,,,,,,,,27,199
,13,,34,,796,7,180,401,463,750,14,,,,,,,,8,,28,69,,,,,,,,,,,,25,317
,13,,35,,639,5,109,210,260,600,5,,,,,,,,5,,10,53,,,,,,,,,,,,7,179
,14,,1,,1396,6,252,513,641,1300,19,,,,,,,,12,,,54,,,,,,,,,,,,,554
,14,,2,,1451,2,256,460,597,1350,14,,,,,,,,11,,,58,,,,,,,,,,,,,512
,14,,3,,1344,43,206,461,638,1300,18,,,,,,,,13,,,46,,,,,,,,,,,,,546
,14,,4,,1296,0,283,547,766,1250,35,,,,,,,,4,,,172,,,,,,,,,,,,,555
,14,,5,,929,0,200,455,580,900,7,,,,,,,,12,,,65,,,,,,,,,,,,,495
,14,,6,,1127,3,226,401,554,1050,17,,,,,,,,23,,,43,,,,,,,,,,,,,471
,14,,7,,1104,12,255,444,586,1050,19,,,,,,,,10,,,30,,,,,,,,,,,,,516
,14,,8,,1017,2,243,437,604,950,13,,,,,,,,12,,,70,,,,,,,,,,,,,509
,14,,9,,1067,6,248,557,646,1000,25,,,,,,,,13,,,91,,,,,,,,,,,,,517
,14,,10,,499,2,209,375,407,500,1,,,,,,,,4,,,18,,,,,,,,,,,,,380
,14,,11,,1117,3,261,574,727,1050,14,,,,,,,,10,,,4,,,,,,,,,,,,,698
,14,,12,,1253,1,240,449,594,1150,21,,,,,,,,10,,,114,,,,,,,,,,,,,447
,14,,13,,806,5,138,285,354,750,6,,,,,,,,6,,,60,,,,,,,,,,,,,282
,14,,14,,1045,0,142,324,444,950,16,,,,,,,,10,,,22,,,,,,,,,,,,,396
,14,,15,,894,12,155,284,353,850,14,,,,,,,,11,,,31,,,,,,,,,,,,,280
,14,,16,,1140,17,187,457,567,1050,11,,,,,,,,11,,,80,,,,,,,,,,,,,457
,14,,17,,528,17,144,278,329,500,6,,,,,,,,8,,,21,,,,,,,,,,,,,286
,14,,18,,363,15,130,210,242,350,2,,,,,,,,0,,,13,,,,,,,,,,,,,224
,14,,19,,1263,6,206,450,624,1200,9,,,,,,,,11,,,56,,,,,,,,,,,,,548
,14,,20,,816,7,147,304,438,750,15,,,,,,,,3,,,46,,,,,,,,,,,,,374
,14,,21,,673,2,144,296,404,650,5,,,,,,,,3,,,42,,,,,,,,,,,,,354
,14,,22,,800,9,175,307,401,750,17,,,,,,,,8,,,38,,,,,,,,,,,,,338
,14,,23,,694,5,95,175,229,600,5,,,,,,,,14,,,39,,,,,,,,,,,,,171
,15,,1,,1489,7,251,466,606,1300,21,,,,,,,,,12,117,83,,,,,,,,,,,,,373
,15,,2,,1589,9,207,455,651,1450,15,,,,,,,,,22,134,98,,,,,,,,,,,,,382
,15,,3,,1371,9,226,428,579,1250,30,,,,,,,,,28,116,51,,,,,,,,,,,,,354
,15,,4,,712,49,202,378,469,700,9,,,,,,,,,7,121,134,,,,,,,,,,,,,196
,15,,5,,1437,4,337,635,794,1350,84,,,,,,,,,46,160,128,,,,,,,,,,,,,374
,15,,6,,1091,4,228,414,499,1000,31,,,,,,,,,15,174,43,,,,,,,,,,,,,236
,15,,7,,931,5,162,336,402,900,21,,,,,,,,,17,82,117,,,,,,,,,,,,,165
,15,,8,,1132,30,251,541,627,1100,27,,,,,,,,,7,217,171,,,,,,,,,,,,,198
,15,,9,,790,3,267,500,598,750,79,,,,,,,,,18,227,74,,,,,,,,,,,,,200
,15,,10,,1267,4,289,546,711,1200,40,,,,,,,,,8,118,140,,,,,,,,,,,,,405
,15,,11,,865,5,206,354,432,800,34,,,,,,,,,9,51,122,,,,,,,,,,,,,216
,15,,12,,535,4,132,284,327,500,7,,,,,,,,,5,26,56,,,,,,,,,,,,,232
,15,,13,,970,0,140,370,491,900,30,,,,,,,,,19,121,65,,,,,,,,,,,,,255
,15,,14,,1583,9,271,619,837,1500,45,,,,,,,,,9,182,144,,,,,,,,,,,,,457
,15,,15,,1199,6,239,493,645,1150,25,,,,,,,,,9,131,164,,,,,,,,,,,,,315
,15,,16,,1499,30,290,630,811,1450,62,,,,,,,,,17,117,122,,,,,,,,,,,,,492
,15,,17,,782,1,65,346,421,700,16,,,,,,,,,18,57,82,,,,,,,,,,,,,247
,15,,18,,1288,5,134,373,468,1050,44,,,,,,,,,2,181,15,,,,,,,,,,,,,224
,15,,19,,1224,8,183,378,475,1000,21,,,,,,,,,3,131,14,,,,,,,,,,,,,304
,15,,20,,1510,7,128,308,434,1200,20,,,,,,,,,4,123,14,,,,,,,,,,,,,272
,15,,21,,1415,6,122,345,424,1150,32,,,,,,,,,0,121,13,,,,,,,,,,,,,256
,15,,22,,1388,6,170,425,544,1200,33,,,,,,,,,0,168,8,,,,,,,,,,,,,338
,15,,23,,460,6,84,167,181,450,1,,,,,,,,,9,55,11,,,,,,,,,,,,,105
,15,,24,,893,2,204,470,541,850,25,,,,,,,,,19,207,26,,,,,,,,,,,,,264
,15,,25,,1577,4,258,566,751,1500,30,,,,,,,,,8,389,39,,,,,,,,,,,,,279
,15,,26,,1433,8,389,605,816,1350,15,,,,,,,,,2,558,21,,,,,,,,,,,,,223
,15,,27,,817,6,115,253,372,750,9,,,,,,,,,0,261,23,,,,,,,,,,,,,79
,15,,28,,791,5,220,378,462,650,23,,,,,,,,,4,298,29,,,,,,,,,,,,,108
,15,,29,,1327,8,206,526,698,1250,23,,,,,,,,,3,298,53,,,,,,,,,,,,,321
,15,,30,,1356,8,223,414,587,1250,27,,,,,,,,,34,81,74,,,,,,,,,,,,,371
,15,,31,,436,5,122,210,256,450,16,,,,,,,,,7,58,40,,,,,,,,,,,,,135
,15,,32,,750,3,146,314,391,700,7,,,,,,,,,8,92,118,,,,,,,,,,,,,166
,15,,33,,540,8,116,251,293,500,5,,,,,,,,,3,157,21,,,,,,,,,,,,,107
,15,,34,,700,7,83,282,377,650,26,,,,,,,,,6,168,22,,,,,,,,,,,,,155
,15,,35,,910,11,90,200,311,750,16,,,,,,,,,3,140,10,,,,,,,,,,,,,141
,15,,36,,572,9,79,204,255,500,19,,,,,,,,,0,101,5,,,,,,,,,,,,,130
,15,,37,,384,4,149,222,227,400,7,,,,,,,,,2,89,20,,,,,,,,,,,,,109
,16,,1,,1328,11,222,498,693,1200,23,,,,,,,,,,10,121,6,113,,,,,,,,,,,420
,16,,2,,1399,4,285,585,718,1300,36,,,,,,,,,,42,118,11,126,,,,,,,,,,,382
,16,,3,,1271,8,311,474,655,1150,25,,,,,,,,,,26,112,19,152,,,,,,,,,,,321
,16,,4,,1230,8,195,421,596,1150,22,,,,,,,,,,14,114,17,130,,,,,,,,,,,299
,16,,5,,1382,9,251,502,644,1250,32,,,,,,,,,,38,176,18,156,,,,,,,,,,,222
,16,,6,,725,1,214,430,517,700,42,,,,,,,,,,20,188,18,27,,,,,,,,,,,220
,16,,7,,658,1,156,365,432,600,26,,,,,,,,,,60,72,19,24,,,,,,,,,,,231
,16,,8,,1498,30,273,526,774,1400,64,,,,,,,,,,33,164,179,56,,,,,,,,,,,278
,16,,9,,1552,6,241,501,760,1450,48,,,,,,,,,,25,87,244,83,,,,,,,,,,,273
,16,,10,,1262,7,254,428,584,1150,39,,,,,,,,,,46,104,181,29,,,,,,,,,,,184
,16,,11,,264,5,38,120,171,250,6,,,,,,,,,,29,45,22,3,,,,,,,,,,,66
,16,,12,,382,7,68,119,142,300,8,,,,,,,,,,19,18,9,4,,,,,,,,,,,82
,16,,13,,283,4,81,150,172,300,13,,,,,,,,,,13,45,3,21,,,,,,,,,,,77
,16,,14,,802,6,160,371,462,750,22,,,,,,,,,,66,99,23,21,,,,,,,,,,,231
,16,,15,,403,3,51,187,230,400,12,,,,,,,,,,26,24,2,18,,,,,,,,,,,148
,16,,16,,399,4,726,168,220,400,12,,,,,,,,,,10,69,12,30,,,,,,,,,,,87
,16,,17,,474,3,102,268,336,500,15,,,,,,,,,,16,113,22,7,,,,,,,,,,,163
,16,,18,,770,2,165,429,505,700,20,,,,,,,,,,38,228,59,19,,,,,,,,,,,141
,16,,19,,1443,5,270,642,896,1350,73,,,,,,,,,,49,192,40,36,,,,,,,,,,,503
,16,,20,,1195,5,260,622,803,1150,85,,,,,,,,,,47,167,44,41,,,,,,,,,,,419
,16,,21,,1460,4,186,431,583,1350,35,,,,,,,,,,43,108,24,61,,,,,,,,,,,312
,16,,22,,1174,1,137,315,478,1150,40,,,,,,,,,,33,93,40,73,,,,,,,,,,,198
,16,,23,,1296,7,190,417,571,1200,34,,,,,,,,,,72,119,12,29,,,,,,,,,,,305
,16,,24,,1357,2,223,557,845,1250,38,,,,,,,,,,89,253,52,53,,,,,,,,,,,360
,16,,25,,1192,70,210,570,709,1200,51,,,,,,,,,,33,177,6,111,,,,,,,,,,,331
,16,,26,,503,1,120,252,300,500,22,,,,,,,,,,20,99,11,40,,,,,,,,,,,108
,16,,27,,764,2,210,466,555,700,38,,,,,,,,,,32,197,6,36,,,,,,,,,,,246
,16,,28,,297,2,86,201,238,300,22,,,,,,,,,,14,56,2,55,,,,,,,,,,,88
,16,,29,,1304,7,240,541,656,750,27,,,,,,,,,,39,90,10,220,,,,,,,,,,,269
,16,,30,,1128,2,215,519,632,1100,39,,,,,,,,,,78,162,36,32,,,,,,,,,,,285
,17,,14,,869,6,113,298,421,800,23,,,,,,,,4,,100,133,,,,,,,,,,,,,161
,17,,15,,816,2,105,288,413,750,13,,,,,,,,6,,66,61,,,,,,,,,,,,,267
