"shape","common_id","common_name","Total Voter Turnout (#)","Total Voter Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts with More Ballots Than Votes (#)","Precincts with More Ballots Than Votes (%)","More Ballots Than Votes (Average)","More Ballots Than Votes (#)","Precincts with More Votes than Ballots (#)","Precincts with More Votes than Ballots (%)","More Votes than Ballots (Average)","More Votes than Ballots (#)","Average votes per minute (08:00-12:00)","Average votes per minute (12:00-17:00)","Average votes per minute (17:00-20:00)","Number of Precincts with votes per minute > 2 (08:00-12:00)","Number of Precincts with votes per minute > 2 (12:00-17:00)","Number of Precincts with votes per minute > 2 (17:00-20:00)","Number of Precincts with votes per minute > 2","Precincts Reported (#)","Precincts Reported (%)","United Opposition","United National Movement","Greens Party","Alliance of Patriots","Georgian Party","Way of Georgia","Georgian Dream"
"Precinct","25","17-25","213","17.8691",\N,\N,\N,\N,"3.6199",\N,\N,\N,"0",\N,\N,\N,"0","0.3083","0.2200","0.4500",\N,\N,\N,\N,\N,\N,"0.0000","34.7418","0.0000","0.0000","0.0000","0.0000","65.2582"
"Precinct","26","17-26","274","31.7497",\N,\N,\N,\N,"1.7921",\N,\N,\N,"0",\N,\N,\N,"0","0.5083","0.3367","0.3111",\N,\N,\N,\N,\N,\N,"0.0000","25.9124","0.0000","0.0000","0.0000","0.0000","74.0876"
"Precinct","27","17-27","293","47.1820",\N,\N,\N,\N,"2.9801",\N,\N,\N,"0",\N,\N,\N,"0","0.6292","0.2833","0.3667",\N,\N,\N,\N,\N,\N,"0.0000","19.7952","0.0000","0.0000","0.0000","0.0000","80.2048"
"Precinct","28","17-28","376","32.2470",\N,\N,\N,\N,"1.8277",\N,\N,\N,"0",\N,\N,\N,"0","0.4208","0.4900","0.7500",\N,\N,\N,\N,\N,\N,"0.0000","30.3191","0.0000","0.0000","0.0000","0.0000","69.6809"
"Precinct","29","17-29","374","50.9537",\N,\N,\N,\N,"1.0582",\N,\N,\N,"0",\N,\N,\N,"0","0.6500","0.4400","0.5000",\N,\N,\N,\N,\N,\N,"0.0000","19.7861","0.0000","0.0000","0.0000","0.0000","80.2139"
"Precinct","30","17-30","438","51.2881",\N,\N,\N,\N,"1.1287",\N,\N,\N,"0",\N,\N,\N,"0","0.6750","0.5967","0.5667",\N,\N,\N,\N,\N,\N,"0.0000","23.2877","0.0000","0.0000","0.0000","0.0000","76.7123"
"Precinct","31","17-31","53","49.0741",\N,\N,\N,\N,"0.0000",\N,\N,\N,"0",\N,\N,\N,"0","0.0917","0.0667","0.0611",\N,\N,\N,\N,\N,\N,"0.0000","7.5472","0.0000","0.0000","0.0000","0.0000","92.4528"
"Precinct","32","17-32","481","31.5203",\N,\N,\N,\N,"3.0242",\N,\N,\N,"0",\N,\N,\N,"0","0.5958","0.7767","0.6667",\N,\N,\N,\N,\N,\N,"0.0000","43.6590","0.0000","0.0000","0.0000","0.0000","56.3410"
"Precinct","33","17-33","201","40.4427",\N,\N,\N,\N,"0.9852",\N,\N,\N,"0",\N,\N,\N,"0","0.3333","0.2467","0.2722",\N,\N,\N,\N,\N,\N,"0.0000","49.7512","0.0000","0.0000","0.0000","0.0000","50.2488"
"Precinct","34","17-34","51","45.9459",\N,\N,\N,\N,"0.0000",\N,\N,\N,"0",\N,\N,\N,"0","0.1375","0.0400","0.0333",\N,\N,\N,\N,\N,\N,"0.0000","31.3725","0.0000","0.0000","0.0000","0.0000","68.6275"
"Precinct","35","17-35","584","48.2246",\N,\N,\N,\N,"2.0134",\N,\N,\N,"1",\N,\N,\N,"0","0.9792","0.6167","0.9778",\N,\N,\N,\N,\N,\N,"0.0000","22.7740","0.0000","0.0000","0.0000","0.0000","77.0548"
