"shape","common_id","common_name","Total Turnout (#)","Total Turnout (%)","Number of Precincts with Invalid Ballots from 0-1%","Number of Precincts with Invalid Ballots from 1-3%","Number of Precincts with Invalid Ballots from 3-5%","Number of Precincts with Invalid Ballots > 5%","Invalid Ballots (%)","Precincts Reported (#)","Precincts Reported (%)","Free Georgia","United National Movement","Movement for Fair Georgia","Christian-Democratic Movement","New Rights","Labour","Georgian Dream"
"Precinct","16","84-16","228","60.9626",\N,\N,\N,\N,"2.9787",\N,\N,"0.0000","90.7895","0.0000","0.4386","0.0000","0.0000","8.7719"
"Precinct","17","84-17","372","57.5851",\N,\N,\N,\N,"3.1250",\N,\N,"3.4946","58.8710","0.0000","2.4194","1.6129","1.0753","32.5269"
"Precinct","18","84-18","703","59.7281",\N,\N,\N,\N,"4.3537",\N,\N,"0.2845","61.3087","0.1422","8.3926","0.7112","1.1380","27.5960"
"Precinct","19","84-19","462","58.9286",\N,\N,\N,\N,"6.0976",\N,\N,"1.7316","66.0173","0.6494","6.4935","2.1645","0.8658","22.0779"
"Precinct","20","84-20","173","79.3578",\N,\N,\N,\N,"1.7045",\N,\N,"0.5780","69.3642","0.0000","2.8902","0.5780","1.7341","24.8555"
"Precinct","21","84-21","198","68.2759",\N,\N,\N,\N,"2.4631",\N,\N,"1.0101","65.1515","0.0000","5.0505","3.0303","1.5152","24.2424"
"Precinct","22","84-22","158","62.2047",\N,\N,\N,\N,"3.0675",\N,\N,"1.2658","60.1266","0.0000","4.4304","0.0000","0.0000","33.5443"
"Precinct","23","84-23","357","45.1899",\N,\N,\N,\N,"12.0690",\N,\N,"0.8403","49.8599","0.2801","1.9608","20.4482","1.4006","25.2101"
"Precinct","24","84-24","342","63.8060",\N,\N,\N,\N,"4.4693",\N,\N,"1.4620","73.9766","0.0000","1.4620","0.0000","0.5848","22.2222"
"Precinct","25","84-25","274","63.8695",\N,\N,\N,\N,"4.5296",\N,\N,"16.0584","8.0292","0.7299","1.4599","1.8248","0.7299","34.6715"
"Precinct","26","84-26","291","63.2609",\N,\N,\N,\N,"3.3223",\N,\N,"6.5292","53.6082","0.0000","6.1856","1.0309","1.0309","30.5842"
"Precinct","27","84-27","275","61.9369",\N,\N,\N,\N,"1.7857",\N,\N,"0.7273","56.0000","0.0000","2.9091","1.0909","0.3636","38.9091"
"Precinct","28","84-28","181","51.2748",\N,\N,\N,\N,"2.1622",\N,\N,"0.0000","74.5856","0.0000","2.7624","2.7624","0.0000","19.8895"
"Precinct","29","84-29","162","63.7795",\N,\N,\N,\N,"2.9940",\N,\N,"0.0000","61.1111","0.0000","6.7901","0.0000","1.2346","30.2469"
"Precinct","30","84-30","135","71.4286",\N,\N,\N,\N,"0.7353",\N,\N,"0.0000","68.8889","0.0000","4.4444","0.0000","0.7407","25.9259"
"Precinct","31","84-31","288","55.7060",\N,\N,\N,\N,"2.3729",\N,\N,"0.3472","62.8472","0.0000","3.1250","2.4306","1.3889","29.8611"
"Precinct","32","84-32","369","58.6645",\N,\N,\N,\N,"3.1496",\N,\N,"0.5420","48.5095","0.2710","5.4201","2.1680","0.0000","43.0894"
"Precinct","33","84-33","203","67.6667",\N,\N,\N,\N,"3.7915",\N,\N,"0.0000","49.2611","0.0000","4.4335","0.4926","0.0000","45.8128"
"Precinct","34","84-34","120","68.9655",\N,\N,\N,\N,"2.4390",\N,\N,"0.8333","66.6667","0.8333","6.6667","3.3333","1.6667","20.0000"
"Precinct","35","84-35","171","72.4576",\N,\N,\N,\N,"0.0000",\N,\N,"0.5848","53.8012","0.0000","7.6023","0.0000","1.7544","35.6725"
"Precinct","36","84-36","254","61.0577",\N,\N,\N,\N,"4.1509",\N,\N,"0.0000","51.5748","0.0000","5.9055","1.9685","0.0000","39.3701"
"Precinct","37","84-37","244","52.3605",\N,\N,\N,\N,"5.0584",\N,\N,"0.0000","72.1311","0.0000","1.6393","2.4590","0.8197","22.9508"
"Precinct","38","84-38","142","55.9055",\N,\N,\N,\N,"2.7397",\N,\N,"0.7042","60.5634","0.7042","4.2254","0.7042","0.0000","33.0986"
"Precinct","39","84-39","278","52.7514",\N,\N,\N,\N,"1.4184",\N,\N,"0.0000","59.7122","1.0791","5.3957","0.7194","0.7194","32.3741"
"Precinct","40","84-40","310","60.4288",\N,\N,\N,\N,"2.8213",\N,\N,"0.3226","77.0968","0.3226","1.2903","0.3226","0.6452","20.0000"
"Precinct","41","84-41","291","51.6874",\N,\N,\N,\N,"4.5902",\N,\N,"0.3436","63.2302","0.6873","3.4364","0.6873","0.0000","31.6151"
"Precinct","42","84-42","347","54.9051",\N,\N,\N,\N,"3.0726",\N,\N,"0.8646","52.7378","0.0000","2.8818","8.9337","1.1527","33.4294"
"Precinct","43","84-43","104","58.7571",\N,\N,\N,\N,"5.4545",\N,\N,"0.0000","35.5769","0.0000","4.8077","1.9231","0.9615","56.7308"
"Precinct","44","84-44","109","52.6570",\N,\N,\N,\N,"5.2174",\N,\N,"1.8349","52.2936","0.0000","6.4220","10.0917","0.0000","28.4404"
"Precinct","45","84-45","190","70.6320",\N,\N,\N,\N,"1.5544",\N,\N,"0.0000","73.1579","1.5789","4.2105","0.0000","2.6316","18.4211"
"Precinct","46","84-46","183","61.8243",\N,\N,\N,\N,"1.6129",\N,\N,"2.1858","78.6885","0.0000","3.2787","1.0929","1.0929","13.6612"
"Precinct","47","84-47","101","75.9398",\N,\N,\N,\N,"2.8846",\N,\N,"0.9901","77.2277","0.0000","9.9010","0.0000","1.9802","9.9010"
"Precinct","48","84-48","96","61.1465",\N,\N,\N,\N,"1.0309",\N,\N,"0.0000","63.5417","0.0000","5.2083","0.0000","0.0000","31.2500"
"Precinct","49","84-49","270","69.2308",\N,\N,\N,\N,"1.4599",\N,\N,"0.0000","64.4444","0.0000","6.2963","1.4815","0.7407","27.0370"
"Precinct","50","84-50","245","72.4852",\N,\N,\N,\N,"2.7778",\N,\N,"0.0000","62.4490","0.0000","3.2653","0.0000","0.0000","33.4694"
"Precinct","51","84-51","179","66.7910",\N,\N,\N,\N,"3.2432",\N,\N,"8.9385","44.6927","0.5587","1.6760","1.1173","1.1173","41.3408"
"Precinct","52","84-52","130","64.0394",\N,\N,\N,\N,"1.5152",\N,\N,"0.0000","76.1538","0.7692","2.3077","0.7692","0.0000","18.4615"
"Precinct","53","84-53","168","66.1417",\N,\N,\N,\N,"7.6923",\N,\N,"0.0000","52.9762","0.0000","2.9762","0.5952","1.1905","42.2619"
"Precinct","54","84-54","231","69.1617",\N,\N,\N,\N,"2.5316",\N,\N,"0.0000","43.7229","0.0000","4.7619","1.2987","0.0000","49.7835"
