shape,common_id,common_name,Total Turnout (#),Total Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Free Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,New Rights,Labour,Georgian Dream
Precinct,58,79-58,778,57.758,\N,\N,\N,\N,3.2338,0.6427,24.8072,0.5141,2.9563,0.2571,1.1568,69.6658
Precinct,59,79-59,775,59.1603,\N,\N,\N,\N,3.0038,0,33.2903,0,2.4516,4.129,1.4194,58.7097
Precinct,60,79-60,772,55.6999,\N,\N,\N,\N,2.1546,0.5181,28.6269,0.1295,1.943,0.3886,0.9067,67.487
Precinct,61,79-61,599,50.2939,\N,\N,\N,\N,3.6977,1.0017,37.8965,0.5008,3.005,0,1.3356,56.2604
Precinct,62,79-62,714,53.8868,\N,\N,\N,\N,2.459,0.5602,28.8515,0,2.6611,0.1401,1.8207,65.9664
Precinct,63,79-63,835,55.4449,\N,\N,\N,\N,2.7939,0.3593,23.3533,0.1198,1.7964,0.3593,1.9162,72.0958
Precinct,64,79-64,840,57.8114,\N,\N,\N,\N,2.3256,0.2381,29.881,0,2.2619,0.4762,1.3095,65.8333
Precinct,65,79-65,896,60.1746,\N,\N,\N,\N,2.2901,1.0045,32.5893,0.558,3.3482,0.4464,1.2277,60.8259
Precinct,66,79-66,622,53.9931,\N,\N,\N,\N,3.4161,0.3215,25.4019,0.1608,1.9293,0.4823,2.2508,69.1318
Precinct,67,79-67,733,51.6925,\N,\N,\N,\N,3.1704,0.2729,32.6057,0.8186,4.2292,0.5457,0.2729,61.2551
Precinct,68,79-68,879,61.3827,\N,\N,\N,\N,2.2247,0.1138,29.124,0.4551,2.3891,0.6826,0.3413,66.6667
Precinct,69,79-69,582,62.3126,\N,\N,\N,\N,1.3559,0.3436,26.1168,0.1718,3.9519,0,1.0309,68.3849
Precinct,70,79-70,449,56.478,\N,\N,\N,\N,3.0238,0.4454,30.2895,0,2.6726,0.4454,1.3363,64.8107
Precinct,71,79-71,801,54.2316,\N,\N,\N,\N,2.6731,0.6242,22.0974,0,1.623,0.6242,1.4981,73.4082
Precinct,72,79-72,802,54.2625,\N,\N,\N,\N,1.1097,0.6234,19.0773,0.3741,1.8703,1.4963,1.8703,74.6883
Precinct,73,79-73,811,56.2413,\N,\N,\N,\N,2.0531,0.3699,22.9346,0.2466,1.7263,0,0.6165,74.106
Precinct,74,79-74,56,7.1979,\N,\N,\N,\N,1.7544,0,33.9286,0,7.1429,0,1.7857,53.5714
Precinct,75,79-75,542,63.3178,\N,\N,\N,\N,2.693,0.369,25.2768,0.1845,0.738,0.1845,0.9225,72.3247
Precinct,76,79-76,852,57.7627,\N,\N,\N,\N,1.8433,1.0563,23.5915,0,1.1737,0.2347,1.1737,72.77
Precinct,77,79-77,1171,120.4733,\N,\N,\N,\N,1.1814,0.3416,63.0231,0.1708,0.9394,0.0854,0.7686,34.0734
Precinct,78,79-78,602,58.1081,\N,\N,\N,\N,1.634,0,28.4053,0.1661,3.3223,0.1661,1.1628,66.7774
Precinct,79,79-79,751,60.5645,\N,\N,\N,\N,2.4675,0.1332,32.7563,0.3995,2.6631,0,0.9321,62.7164
Precinct,80,79-80,73,8.8164,\N,\N,\N,\N,0,1.3699,27.3973,0,4.1096,1.3699,1.3699,64.3836
Precinct,81,79-81,675,56.4854,\N,\N,\N,\N,2.7378,0.5926,29.3333,0.2963,1.3333,0.7407,1.1852,66.3704
Precinct,82,79-82,371,57.2531,\N,\N,\N,\N,2.3684,0,23.4501,0,2.6954,0,1.6173,72.2372
Precinct,83,79-83,629,50.4815,\N,\N,\N,\N,1.8721,0.4769,25.1192,0.159,1.2719,0.4769,1.2719,71.2242
Precinct,84,79-84,502,56.4045,\N,\N,\N,\N,2.1442,0,29.8805,0,1.3944,0.3984,1.1952,67.1315
Precinct,85,79-85,779,61.146,\N,\N,\N,\N,2.0126,0.1284,39.1528,0,2.9525,0.2567,1.4121,55.4557
Precinct,86,79-86,490,65.508,\N,\N,\N,\N,1.2097,0.4082,30,0,2.8571,0.8163,0.4082,65.5102
Precinct,87,79-87,887,63.9049,\N,\N,\N,\N,1.7719,0,39.2334,0.1127,1.5784,0.3382,1.0147,56.5953
Precinct,88,79-88,672,56.1873,\N,\N,\N,\N,1.6105,0,32.5893,0,1.1905,0,1.1905,64.881
Precinct,89,79-89,794,64.5528,\N,\N,\N,\N,1.6109,0.2519,28.0856,0.3778,1.5113,0.1259,0,69.6474
Precinct,90,79-90,653,50.8963,\N,\N,\N,\N,1.2103,0,24.196,0.3063,1.9908,0,1.3783,72.1286
Precinct,91,79-91,1003,65.5556,\N,\N,\N,\N,4.5671,0.2991,27.0189,0.2991,1.1964,0.3988,0.6979,70.0897
Precinct,92,79-92,924,69.526,\N,\N,\N,\N,2.4287,0.2165,31.6017,0.3247,3.1385,1.7316,0.8658,62.1212
Precinct,93,79-93,531,62.178,\N,\N,\N,\N,2.2099,0.9416,27.4953,0,1.6949,0.1883,1.6949,67.9849
Precinct,94,79-94,761,65.2659,\N,\N,\N,\N,2.5608,0.3942,32.3259,2.1025,2.7595,0.1314,1.7083,59.9212
Precinct,95,79-95,735,65.1596,\N,\N,\N,\N,2.5199,0.9524,27.2109,0.1361,1.6327,0,1.0884,68.9796
Precinct,96,79-96,817,55.4274,\N,\N,\N,\N,2.3895,0,42.9621,0.3672,3.5496,0.4896,2.2032,50.306
Precinct,97,79-97,814,55.6391,\N,\N,\N,\N,3.4401,0.4914,23.4644,0.4914,1.7199,0.7371,1.2285,71.6216
Precinct,98,79-98,720,60.2007,\N,\N,\N,\N,3.8718,0.5556,24.7222,0,2.5,0.2778,0.6944,70.6944
Precinct,99,79-99,751,61.0073,\N,\N,\N,\N,1.8301,0.1332,30.3595,0.2663,2.6631,0.1332,0.5326,65.5126
Precinct,100,79-100,513,61.8818,\N,\N,\N,\N,3.2075,0.9747,22.4172,0.3899,2.1442,1.3645,1.1696,70.5653
Precinct,101,79-101,356,82.9837,\N,\N,\N,\N,1.9284,0.8427,52.809,0.2809,0.8427,0,1.4045,43.8202
Precinct,102,79-102,670,43.5348,\N,\N,\N,\N,4.5584,0.2985,73.4328,0,2.6866,0.2985,1.9403,20.597
Precinct,103,79-103,776,51.255,\N,\N,\N,\N,4.4335,0.1289,34.7938,0.6443,2.4485,0.7732,0.9021,60.1804
Precinct,104,79-104,764,54.7278,\N,\N,\N,\N,4.1405,0.3927,23.0366,0.1309,2.6178,0.2618,0.9162,72.644
Precinct,1,80-1,898,68.4973,\N,\N,\N,\N,3.3369,0.1114,47.3274,0.2227,2.8953,1.4477,0.5568,47.4388
Precinct,2,80-2,577,69.6019,\N,\N,\N,\N,1.7036,0,57.8856,0.6932,3.8128,2.0797,0.6932,34.8354
Precinct,3,80-3,241,80.0664,\N,\N,\N,\N,2.8226,0,51.4523,0.8299,4.5643,0.4149,1.2448,41.4938
Precinct,4,80-4,342,71.5481,\N,\N,\N,\N,1.4409,0,48.2456,0,7.8947,0.8772,2.0468,40.9357
Precinct,5,80-5,221,77.8169,\N,\N,\N,\N,1.7778,0,49.7738,0.905,2.2624,1.81,1.3575,43.8914
Precinct,6,80-6,257,60.3286,\N,\N,\N,\N,1.1538,0,42.8016,1.5564,4.6693,1.1673,1.5564,48.249
Precinct,7,80-7,237,71.3855,\N,\N,\N,\N,1.25,0,42.1941,0,8.8608,0,0.4219,48.5232
Precinct,8,80-8,204,71.0801,\N,\N,\N,\N,3.7736,0,50.4902,0,3.9216,0.4902,0.4902,44.6078
Precinct,9,80-9,192,62.5407,\N,\N,\N,\N,6.7961,0,57.2917,0,5.2083,0,1.0417,36.4583
