shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Free Georgia,National Democratic Party of Georgia,United National Movement,Movement for Fair Georgia,Christian-Democratic Movement,Public Movement,Freedom Party,Georgian Group,New Rights,People's Party,Merab Kostava Society,Future Georgia,Labour Council of Georgia,Labour,Sportsman's Union,Georgian Dream
Tbilisi Precinct,46,6-46,791,53.0872,\N,\N,\N,\N,3.1824,\N,\N,\N,0,\N,\N,\N,0,1.4583,1.32,0.3944,\N,\N,\N,\N,\N,\N,0.3793,0,24.9052,0,5.689,0,0,0,0,0,0,0,0,1.3906,0,67.6359
Tbilisi Precinct,47,6-47,769,49.4216,\N,\N,\N,\N,2.4112,\N,\N,\N,1,\N,\N,\N,0,1.2792,1.3167,0.4778,\N,\N,\N,\N,\N,\N,0.5202,0,29.1287,0,2.9909,0,0,0,0,0,0,0,0,1.0403,0,66.1899
Tbilisi Precinct,48,6-48,491,56.5017,\N,\N,\N,\N,3.3465,\N,\N,\N,4,\N,\N,\N,0,0.9167,0.7633,0.3278,\N,\N,\N,\N,\N,\N,0,0,36.4562,0,3.4623,0,0,0,0,0,0,0,0,0.611,0,58.6558
Tbilisi Precinct,49,6-49,671,51.0654,\N,\N,\N,\N,3.3141,\N,\N,\N,7,\N,\N,\N,0,1.35,1.0467,0.3111,\N,\N,\N,\N,\N,\N,0.149,0,31.2966,0,4.62,0,0,0,0,0,0,0,0,1.3413,0,61.5499
Tbilisi Precinct,50,6-50,795,53.8253,\N,\N,\N,\N,3.2847,\N,\N,\N,0,\N,\N,\N,0,1.3292,1.3367,0.5667,\N,\N,\N,\N,\N,\N,0.2516,0,31.9497,0,3.3962,0,0,0,0,0,0,0,0,0.7547,0,63.6478
Tbilisi Precinct,51,6-51,845,57.0175,\N,\N,\N,\N,1.8583,\N,\N,\N,3,\N,\N,\N,0,1.6083,1.19,0.6556,\N,\N,\N,\N,\N,\N,0.355,0,28.4024,0,3.1953,0,0,0,0,0,0,0,0,1.1834,0,66.5089
Tbilisi Precinct,52,6-52,831,50.6399,\N,\N,\N,\N,3.9306,\N,\N,\N,0,\N,\N,\N,0,1.625,1.23,0.5889,\N,\N,\N,\N,\N,\N,0.2407,0,27.9182,0,4.0915,0,0,0,0,0,0,0,0,0,0,67.7497
Tbilisi Precinct,53,6-53,687,54.0519,\N,\N,\N,\N,2.9661,\N,\N,\N,5,\N,\N,\N,0,1.3333,1.0467,0.4111,\N,\N,\N,\N,\N,\N,0.1456,0,29.9854,0,4.5124,0,0,0,0,0,0,0,0,1.1645,0,63.4643
Tbilisi Precinct,54,6-54,659,45.9233,\N,\N,\N,\N,3.3724,\N,\N,\N,4,\N,\N,\N,0,1.3583,0.98,0.3444,\N,\N,\N,\N,\N,\N,0.1517,0,29.4385,0,3.6419,0,0,0,0,0,0,0,0,0.607,0,65.5539
Tbilisi Precinct,55,6-55,640,52.9363,\N,\N,\N,\N,4.048,\N,\N,\N,3,\N,\N,\N,0,1.1542,1.06,0.4,\N,\N,\N,\N,\N,\N,0.1563,0,27.5,0,3.125,0,0,0,0,0,0,0,0,1.25,0,67.5
