region,district_id,district name,precinct_id,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,2 - European Georgia,3 - Democratic Movement - Free Georgia,5 - United National Movement,8 - Alliance of Patriots,10 - Labour,11 - National Democratic Party of Georgia,14 - Georgian Unity and Development Party,17 - Georgia,18 - Union of Georgian Traditionalists,20 - National Forum,23 - New Christian Democrats,27 - Unity - New Georgia,28 - Lord Our Righteousness,38 - Party of People,39 - Progressive Democratic Movement,41 - Georgian Dream,42 - Initiative Group
,3,,6,,1178,10,189,471,612,1100,13,598,,,,,,,35,5,77,7,3,0,,2,0,1,,18,,,1,312,137
,3,,7,,1551,11,180,580,771,1450,17,754,,,,,,,55,7,82,16,5,1,,1,0,2,,14,,,0,377,194
,3,,8,,1435,5,214,530,648,1300,6,641,,,,,,,35,6,87,11,5,0,,5,0,0,,11,,,0,367,114
,3,,9,,1504,9,242,668,877,1450,18,859,,,,,,,30,10,115,15,1,0,,0,1,6,,24,,,0,445,212
,3,,10,,1376,9,233,590,743,1300,14,728,,,,,,,42,9,96,10,3,1,,1,1,1,,16,,,0,391,157
,3,,11,,1487,10,201,590,744,1400,21,720,,,,,,,30,6,122,9,3,0,,1,0,0,,22,,,1,368,158
,3,,12,,1436,11,193,527,699,1350,24,674,,,,,,,34,8,90,11,2,0,,0,0,1,,14,,,1,335,178
,3,,13,,1561,10,165,600,747,1450,17,730,,,,,,,45,16,68,11,7,2,,0,0,3,,13,,,0,364,201
,3,,14,,1362,7,151,506,719,1300,17,702,,,,,,,42,8,90,10,5,0,,1,0,0,,15,,,0,407,124
,3,,15,,1429,9,216,536,681,1350,16,662,,,,,,,28,4,96,11,2,0,,0,0,0,,20,,,0,338,163
,3,,16,,1658,7,314,621,823,1500,16,806,,,,,,,38,7,85,17,4,0,,0,1,1,,26,,,0,423,204
,3,,17,,1193,12,139,467,580,1100,15,565,,,,,,,24,7,65,12,0,1,,0,1,0,,15,,,0,287,153
,3,,18,,1397,5,228,556,699,1300,15,684,,,,,,,44,8,82,13,4,1,,0,0,7,,14,,,0,349,162
,3,,19,,1595,8,218,601,856,1500,20,836,,,,,,,56,15,74,13,2,0,,1,2,8,,26,,,0,402,237
,3,,20,,1463,11,195,586,754,1350,18,736,,,,,,,34,2,64,10,2,0,,0,0,6,,27,,,0,417,174
,3,,21,,1180,11,171,460,565,1100,16,548,,,,,,,38,3,78,9,3,0,,0,1,1,,21,,,0,247,147
,3,,22,,1310,11,173,505,666,1200,10,656,,,,,,,40,10,88,12,3,0,,2,0,0,,15,,,0,339,147
,3,,23,,1563,8,198,511,665,1450,9,655,,,,,,,50,4,100,15,10,0,,0,0,1,,10,,,1,332,132
,3,,24,,1516,9,239,623,770,1450,19,744,,,,,,,56,5,108,20,5,0,,0,0,3,,11,,,0,374,162
,3,,25,,1440,9,197,480,638,1350,24,613,,,,,,,37,5,107,7,10,0,,1,0,2,,10,,,1,312,121
,3,,26,,1098,12,177,500,627,1000,12,615,,,,,,,44,10,75,5,3,0,,0,1,5,,15,,,2,308,147
,3,,27,,643,13,106,290,353,600,12,341,,,,,,,20,4,46,6,1,0,,0,0,2,,9,,,0,180,73
,3,,28,,1238,12,146,495,660,1150,23,637,,,,,,,34,5,91,12,3,1,,0,0,3,,8,,,1,348,131
,3,,29,,1302,8,176,550,701,1250,19,682,,,,,,,28,10,64,10,5,0,,0,0,1,,14,,,0,367,183
,3,,30,,1266,9,224,512,659,1200,14,644,,,,,,,34,7,112,9,4,0,,0,0,0,,17,,,0,283,178
,3,,31,,1421,7,202,565,720,1350,19,700,,,,,,,54,8,94,23,8,0,,0,1,0,,22,,,0,364,126
,3,,32,,1454,5,226,533,708,1350,22,676,,,,,,,32,9,131,22,11,0,,1,0,0,,13,,,0,307,150
,3,,33,,1455,10,228,505,613,1350,20,593,,,,,,,55,5,99,15,2,0,,1,0,0,,12,,,1,304,99
,3,,34,,1410,13,237,533,664,1350,18,644,,,,,,,31,9,83,16,1,1,,1,0,2,,12,,,0,361,127
,3,,35,,1080,6,131,342,414,1000,17,398,,,,,,,25,8,62,27,0,0,,0,0,0,,15,,,1,206,54
,3,,36,,1395,5,269,612,746,1300,22,720,,,,,,,51,8,91,19,4,0,,1,0,0,,13,,,0,377,156
,3,,37,,1361,9,275,636,766,1250,22,744,,,,,,,59,14,122,13,3,1,,0,0,4,,35,,,2,323,168
,3,,38,,1328,10,200,495,607,1250,13,593,,,,,,,44,10,104,15,1,0,,1,0,3,,8,,,2,277,128
,3,,39,,1271,8,220,543,671,1200,18,653,,,,,,,33,9,76,20,6,0,,0,0,3,,14,,,0,337,155
,3,,40,,1399,7,268,592,736,1300,9,727,,,,,,,25,7,113,18,5,0,,0,5,14,,0,,,0,379,161
,3,,41,,1291,6,170,417,535,1200,17,514,,,,,,,22,8,74,27,5,0,,0,0,3,,17,,,2,254,102
