region,distr,district id,prec,precinct id,avg age,# > 99,85-99,# < 85,# no wdabceli,total voters,# of duplicates
,,06,105,,43.8846880907,0,0,1058,0,1058,0
,,06,106,,47.0317596567,0,31,1134,0,1165,2
,,06,107,,46.8775684932,0,15,1153,0,1168,3
,,06,108,,45.6669716377,0,7,1086,0,1093,1
,,06,109,,45.9199110122,1,10,888,0,899,1
,,06,11,,45.9087947883,0,7,914,0,921,0
,,06,110,,47.144820296,0,20,926,0,946,0
,,06,111,,45.2208976157,1,25,1400,0,1426,2
,,06,112,,45.0410774411,0,20,1465,0,1485,2
,,06,113,,45.9532544379,0,25,1665,0,1690,0
,,06,117,,48.3277693475,0,16,643,0,659,0
,,06,118,,47.0866353257,3,23,1463,0,1489,3
,,06,12,,44.3128729753,0,13,1160,0,1173,0
,,06,13,,45.7864238411,0,7,1201,0,1208,1
,,06,14,,45.9541198502,0,9,1059,0,1068,2
,,06,15,,45.9982316534,0,12,1119,0,1131,2
,,06,16,,44.3242506812,0,13,1455,0,1468,3
,,06,17,,44.7458693942,0,8,1263,0,1271,1
,,06,18,,45.1785109983,0,5,1177,0,1182,1
,,06,19,,46.2715946844,0,11,1193,0,1204,6
,,06,20,,46.156685808,0,4,1215,0,1219,1
,,06,21,,44.82717989,0,16,1257,0,1273,1
,,06,22,,45.9179810726,0,10,1258,0,1268,1
,,06,23,,45.5156826568,0,13,1071,0,1084,2
,,06,24,,45.7468123862,0,7,1091,0,1098,2
,,06,25,,46.3235572375,0,13,1044,0,1057,2
,,06,26,,45.9912974684,0,8,1256,0,1264,3
,,06,27,,46.1803018268,0,10,1249,0,1259,0
,,06,28,,46.385451505,0,14,1182,0,1196,0
,,06,29,,45.0018639329,0,5,1068,0,1073,1
,,06,30,,45.4592074592,0,12,1275,0,1287,0
,,06,31,,46.0625889047,0,19,1387,0,1406,1
,,06,32,,47.1607298002,0,15,1136,0,1151,1
,,06,33,,46.0454545455,0,6,896,0,902,0
,,06,34,,46.7713097713,0,12,950,0,962,0
,,06,35,,46.5518590998,0,14,1008,0,1022,0
,,06,36,,44.9317561419,0,6,1093,0,1099,1
,,06,37,,46.4940711462,0,11,1001,0,1012,1
,,06,38,,45.6394878706,0,8,1476,0,1484,4
,,06,39,,47.3627362736,0,19,1092,0,1111,0
,,06,40,,47.462129528,0,19,892,0,911,0
,,06,41,,45.6106587713,1,13,1337,0,1351,0
,,06,42,,45.5338450803,0,17,1416,0,1433,2
,,06,43,,46.1384615385,0,14,1026,0,1040,0
,,06,44,,46.8164335664,0,16,1128,0,1144,3
,,06,45,,45.565600882,0,17,890,0,907,0
,,06,46,,45.2658436214,0,9,1206,0,1215,2
,,06,47,,47.5985507246,0,21,1359,0,1380,0
,,06,48,,43.3122238586,0,10,1348,0,1358,1
,,06,49,,46.3248081841,0,20,1153,0,1173,1
,,06,50,,45.5425531915,0,12,1304,0,1316,1
,,06,51,,47.3006379585,0,18,1236,0,1254,0
,,06,52,,44.6430536451,0,9,1445,0,1454,2
,,06,53,,46.0345140781,0,11,1090,0,1101,0
,,06,54,,46.4544634806,0,19,1090,0,1109,1
,,06,55,,44.6399217221,0,21,1512,0,1533,4
,,06,56,,47.1787925697,0,26,1266,0,1292,0
,,06,57,,46.4692532943,0,20,1346,0,1366,0
,,06,58,,47.0774077408,0,17,1094,0,1111,1
,,06,59,,47.1840680588,0,33,1260,0,1293,0
,,06,60,,46.4189602446,0,19,1289,0,1308,4
,,06,61,,45.419921875,0,22,1514,0,1536,0
,,06,62,,46.125,0,20,1476,0,1496,0
,,06,63,,45.9288256228,0,14,1110,0,1124,0
,,06,64,,46.1241758242,0,11,899,0,910,3
,,06,65,,44.0358306189,0,4,917,0,921,1
,,06,66,,46.6171875,1,3,1020,0,1024,1
,,06,67,,45.7288428325,0,4,1154,0,1158,1
,,06,68,,44.4759704251,0,3,1079,0,1082,2
,,06,69,,44.3243658724,0,9,1292,0,1301,0
,,06,70,,45.3693333333,0,19,1481,0,1500,1
,,06,71,,45.7078651685,1,10,790,0,801,3
,,06,72,,44.3113897597,0,7,950,0,957,0
,,06,73,,44.9623402824,1,15,1471,0,1487,1
,,06,74,,47.8672985782,0,16,1039,0,1055,2
,,06,75,,46.5327731092,0,13,1177,0,1190,0
,,06,76,,48.0344129555,0,7,487,0,494,1
,,06,77,,46.5856401384,1,18,1137,0,1156,2
,,06,78,,46.7695888285,0,10,1279,0,1289,0
,,06,79,,46.7235701906,0,11,1143,0,1154,1
,,06,80,,46.5222868217,0,22,1010,0,1032,1
,,06,81,,44.2711518858,0,10,971,0,981,1
,,06,82,,46.0321185917,0,18,1601,0,1619,2
,,06,83,,46.1008950366,0,10,1219,0,1229,0
,,06,84,,45.4776815456,0,12,1489,0,1501,2
,,06,85,,46.4061135371,0,19,1126,0,1145,0
,,06,86,,45.6538187009,0,16,1385,0,1401,1
,,06,87,,45.4327002477,0,15,1196,0,1211,0
,,06,88,,45.8234432234,0,13,1352,0,1365,0
,,06,89,,46.3317911434,0,30,1483,0,1513,1
,,06,90,,46.7436940602,0,12,1217,0,1229,0
,,06,91,,45.363851618,0,9,1258,0,1267,1
,,06,92,,44.295362083,0,17,1212,0,1229,1
,,06,93,,47.4481737414,0,25,988,0,1013,1
,,06,94,,47.0825309491,0,13,714,0,727,0
,,06,95,,47.3309545049,0,19,1102,0,1121,2
,,06,96,,47.0032310178,0,13,1225,0,1238,2
,,06,97,,47.6733668342,0,17,1376,0,1393,1
,,06,98,,46.3928571429,0,9,1363,0,1372,1
,,06,99,,45.923297491,0,8,1387,0,1395,1
,,07,01,,49.2059724349,0,36,1270,0,1306,2
,,07,02,,48.3356060606,1,20,1299,0,1320,0
,,07,03,,49.9325842697,0,28,1307,0,1335,3
,,07,04,,46.8786885246,0,27,1498,0,1525,0
,,07,05,,46.9006721434,0,24,1315,0,1339,0
,,07,06,,46.699718706,0,16,1406,0,1422,0
,,07,07,,47.4694960212,0,28,1480,0,1508,3
,,07,08,,47.124831309,0,23,1459,0,1482,2
,,07,09,,48.474801061,0,30,1478,0,1508,0
,,07,10,,48.0383064516,0,21,1467,0,1488,0
,,07,11,,47.8077203205,0,25,1348,0,1373,3
,,07,12,,47.8915562914,0,20,1188,0,1208,1
,,07,13,,48.6986666667,0,26,1099,0,1125,3
,,07,14,,47.6094793057,0,30,1468,0,1498,5
,,07,15,,48.1064748201,0,26,1364,0,1390,2
,,07,16,,46.5103202847,0,14,1391,0,1405,2
,,07,17,,45.1409305462,0,19,1464,0,1483,3
,,07,18,,48.0439137134,0,20,1278,0,1298,1
,,07,19,,46.404778157,0,22,1443,0,1465,1
,,07,20,,46.2343324251,0,22,1446,0,1468,3
,,07,21,,46.6409556314,0,31,1434,0,1465,6
,,07,22,,45.8442622951,0,20,1322,0,1342,3
,,07,23,,48.0105177994,0,24,1212,0,1236,1
,,07,24,,48.1577034884,0,28,1348,0,1376,3
,,07,25,,48.8681898067,0,17,1121,0,1138,1
,,07,26,,46.7914798206,0,17,1321,0,1338,2
,,07,27,,47.710754843,0,29,1468,0,1497,1
,,07,28,,47.2050497322,0,20,1287,0,1307,1
,,07,29,,48.1558669002,0,25,1117,0,1142,1
,,07,30,,46.4697318008,0,21,1284,0,1305,1
,,07,31,,47.8506967485,0,20,1487,0,1507,2
,,07,32,,46.2891911238,0,20,1377,0,1397,1
,,07,33,,46.4962216625,0,9,785,0,794,2
,,07,34,,48.962597036,0,39,1378,0,1417,2
,,07,35,,48.6425855513,0,37,1278,0,1315,2
,,07,36,,47.5266409266,0,30,1265,0,1295,4
,,07,37,,46.678125,0,16,1264,0,1280,1
,,07,38,,48.1673819742,0,27,1371,0,1398,3
,,07,39,,44.9540311174,0,14,1400,0,1414,2
,,07,40,,46.2822174226,0,11,1378,0,1389,2
,,07,41,,48.732079906,1,17,833,0,851,0
,,07,42,,46.3093771389,1,9,1451,0,1461,1
,,07,43,,47.0487106017,0,25,1371,0,1396,1
,,08,01,,48.2299605782,0,31,1491,0,1522,2
,,08,02,,50.7973462002,0,25,804,0,829,3
,,08,03,,48.9078303426,0,34,1192,0,1226,2
,,08,04,,49.1200338123,0,19,1164,0,1183,2
,,08,05,,48.7446969697,0,19,1301,0,1320,0
,,08,06,,49.4374240583,0,21,802,0,823,2
,,08,07,,49.8216989066,0,30,1159,0,1189,2
,,08,08,,48.9931176875,0,27,1426,0,1453,0
,,08,09,,49.4762645914,0,38,1247,0,1285,4
,,08,10,,48.524291498,0,37,1445,0,1482,0
,,08,11,,49.6877104377,0,35,1153,0,1188,2
,,08,12,,47.3914823915,0,19,1202,0,1221,0
,,08,13,,47.522875817,0,18,1359,0,1377,3
,,08,14,,47.1489921122,0,22,1119,0,1141,1
