shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,National Democratic Party of Georgia,United National Movement,Greens Party,Name of the Lord,Alliance of Patriots,Self-governance to People,People's Party,Reformers,Our Georgia,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Freedom Party,Labour,Party of People,Merab Kostava Society,Labour Council of Georgia,Georgian Dream
Majoritarian District,11,83-11,487,67.08,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,,,2.26,,50.92,,,1.23,0.21,,,,,,,,,,1.64,,,,22.59
Majoritarian District,12,83-12,995,38.79,0,2,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,1.31,,16.88,,8.54,,,4.52,0.4,,,,,,,,,,,,,,55.68
Majoritarian District,13,83-13,3258,40.61,0,1,3,3,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,1.93,,6.2,,14.64,,,3.22,0.68,,,,,,,,1.41,,0.98,,,,44.01
Majoritarian District,1,84-1,561,64.93,0,1,0,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,1.78,,2.32,,46.7,,,2.67,,,,,,,,,,,,,,,19.43
Majoritarian District,2,84-2,332,64.97,0,0,1,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,1,100.0,1.2,,9.64,,8.13,,,,,,,,,,,,,,,,,,66.87
Majoritarian District,3,84-3,2418,53.26,1,1,6,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,9,100.0,1.86,,4.18,,14.1,,,2.73,,,,,,,,0.41,,,,,,,21.46
Majoritarian District,4,84-4,977,58.5,0,0,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,1.74,,2.05,,5.53,,,6.86,,,,,,,,,,,,,,,35.31
Majoritarian District,5,84-5,1750,58.26,2,4,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,8,100.0,5.2,,7.31,,20.4,,,4.4,,,,,,,,21.49,,,,,,,41.03
Majoritarian District,6,84-6,1481,59.84,1,0,2,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,2.63,,42.67,,10.26,,,2.36,,,,,,,,,,,,,,,33.22
Majoritarian District,7,84-7,651,55.5,1,1,0,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,1.38,,,,22.43,,,2.46,,,,,,,,0.77,,,,,,,45.47
Majoritarian District,8,84-8,1061,62.27,0,2,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,4,100.0,7.73,,,,14.61,,,1.89,,,,,,,,,,,,,,,49.01
Majoritarian District,9,84-9,467,62.85,0,0,1,1,,0,0.0,,,0,0.0,,,,,,0,0,0,0,2,100.0,0.0,,0.64,,1.5,,,1.5,,,,,,,,0.21,,,,,,,60.39
Majoritarian District,10,84-10,1344,53.38,2,3,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,4.61,,2.38,,29.17,,,15.7,,,,,,,,2.9,,,,,,,44.87
Majoritarian District,11,84-11,563,68.74,1,0,2,0,,0,0.0,,,0,0.0,,,,,,0,0,0,0,3,100.0,,,,,19.89,,,5.51,,,,,,,,20.6,,,,,,,46.71
Majoritarian District,12,84-12,1479,50.95,1,3,1,2,,0,0.0,,,0,0.0,,,,,,0,0,0,0,7,100.0,0.27,,7.71,,13.79,,,,,,,,,,,10.28,,,,,,,67.95
