shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),Non-Parliamentary Opposition,Armed Veterans Patriots,United Opposition,United National Movement,Greens Party,Alliance of Patriots,Self-governance to People,Reformers,Future Georgia,Georgian Party,Christian Democrats,Unity Hall,Way of Georgia,Labour Party,Party of People,Merab Kostava Society,Georgian Dream
Precinct,6,13-6,201,32.95,,,,,2.43,,,,0,,,,0,0.35,0.26,0.26,,,,,,,3.98,,8.46,20.9,,,,,,,,,,,,5.47,61.19
Precinct,7,13-7,390,29.52,,,,,4.18,,,,0,,,,0,0.5,0.52,0.73,,,,,,,1.54,,11.03,17.44,,,,,,,,,,,,8.46,61.54
Precinct,8,13-8,531,39.02,,,,,3.28,,,,0,,,,0,0.58,0.73,1.05,,,,,,,1.32,,3.95,17.51,,,,,,,,,,,,14.69,62.15
Precinct,9,13-9,499,37.83,,,,,3.85,,,,0,,,,0,0.97,0.59,0.61,,,,,,,1.4,,4.81,33.27,,,,,,,,,,,,1.6,58.92
Precinct,10,13-10,584,44.28,,,,,6.41,,,,0,,,,0,0.74,0.88,1.02,,,,,,,1.2,,5.99,19.18,,,,,,,,,,,,10.62,62.67
Precinct,11,13-11,512,39.14,,,,,3.03,,,,0,,,,0,0.72,0.74,0.74,,,,,,,3.32,,9.18,25.39,,,,,,,,,,,,5.47,56.64
Precinct,12,13-12,502,35.78,,,,,4.74,,,,0,,,,0,0.69,0.63,0.96,,,,,,,2.19,,10.36,11.16,,,,,,,,,,,,4.38,71.91
Precinct,13,13-13,464,32.98,,,,,4.33,,,,0,,,,0,0.9,0.49,0.67,,,,,,,1.51,,7.97,17.03,,,,,,,,,,,,3.02,70.47
Precinct,14,13-14,563,48.74,,,,,4.09,,,,0,,,,0,0.81,0.77,0.89,,,,,,,0.89,,3.02,28.77,,,,,,,,,,,,3.73,63.23
Precinct,15,13-15,524,52.19,,,,,2.78,,,,0,,,,0,0.81,0.65,0.84,,,,,,,2.48,,3.05,33.02,,,,,,,,,,,,4.58,56.87
Precinct,16,13-16,158,69.3,,,,,1.25,,,,0,,,,0,0.24,0.18,0.27,,,,,,,0.63,,1.27,23.42,,,,,,,,,,,,3.16,55.7
Precinct,17,13-17,476,50.64,,,,,5.18,,,,0,,,,0,0.72,0.6,0.83,,,,,,,0.63,,4.2,11.76,,,,,,,,,,,,2.52,80.88
Precinct,18,13-18,425,62.04,,,,,4.71,,,,0,,,,0,0.83,0.62,0.33,,,,,,,0.94,,7.53,13.65,,,,,,,,,,,,2.59,75.06
