region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,3,,6,,1210,0,0,0,0,1150,0,,,,,,,,0,,0,0,0,0,0,0,,0,,0,,,0,0,,0,0,0
,3,,7,,1478,10,175,515,681,1400,34,,,,,,,,14,,85,157,13,2,32,0,,0,,0,,,4,12,,0,1,326
,3,,8,,1537,7,178,395,493,1450,17,,,,,,,,27,,44,113,6,1,32,0,,1,,0,,,0,4,,6,1,241
,3,,9,,1506,7,218,530,720,1400,26,,,,,,,,13,,118,180,16,2,52,1,,3,,0,,,8,6,,1,0,294
,3,,10,,1383,9,192,510,642,1300,19,,,,,,,,13,,89,136,4,2,55,0,,2,,0,,,11,4,,4,0,301
,3,,11,,1340,7,166,448,602,1250,17,,,,,,,,13,,91,137,9,2,50,0,,4,,1,,,5,11,,0,1,255
,3,,12,,1569,5,134,410,589,1450,25,,,,,,,,17,,72,155,2,2,39,1,,3,,1,,,3,5,,0,1,263
,3,,13,,1485,8,152,442,609,1400,28,,,,,,,,5,,83,136,8,2,42,2,,13,,2,,,4,7,,1,1,275
,3,,14,,1464,8,199,538,687,1400,26,,,,,,,,16,,107,131,15,3,41,1,,2,,0,,,3,6,,0,0,336
,3,,15,,1404,5,174,460,601,1300,22,,,,,,,,11,,58,137,7,2,48,0,,2,,1,,,4,7,,1,0,301
,3,,16,,1560,9,171,456,606,1450,18,,,,,,,,22,,97,128,3,4,42,1,,3,,0,,,5,9,,0,0,274
,3,,17,,1269,9,143,426,535,1200,25,,,,,,,,20,,79,126,5,3,37,0,,1,,0,,,3,8,,1,0,227
,3,,18,,1442,5,177,475,620,1350,20,,,,,,,,12,,88,128,11,4,28,0,,6,,1,,,8,11,,1,0,303
,3,,19,,1295,10,200,498,624,1250,30,,,,,,,,15,,95,135,10,2,41,1,,3,,0,,,2,12,,0,2,277
,3,,20,,1313,10,153,425,530,1250,13,,,,,,,,4,,83,129,9,1,25,0,,2,,3,,,4,8,,0,2,247
,3,,21,,1216,10,147,402,507,1150,27,,,,,,,,13,,43,137,12,2,33,0,,2,,0,,,3,8,,1,0,226
,3,,22,,1285,8,140,432,538,1200,25,,,,,,,,16,,60,123,14,0,30,1,,2,,1,,,6,10,,0,0,250
,3,,23,,1514,7,185,454,590,1400,20,,,,,,,,7,,97,148,13,3,33,0,,0,,1,,,2,14,,0,0,252
,3,,24,,1565,9,163,460,629,1500,34,,,,,,,,11,,72,151,9,1,47,1,,3,,2,,,3,19,,5,2,269
,3,,25,,1338,11,158,385,518,1250,19,,,,,,,,20,,65,121,5,2,31,0,,3,,0,,,6,11,,0,0,235
,3,,26,,1138,6,131,390,502,1050,22,,,,,,,,14,,61,130,10,2,43,0,,2,,2,,,2,4,,0,0,209
