shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United Opposition,United National Movement,Greens Party,Alliance of Patriots,Georgian Party,Way of Georgia,Georgian Dream
Precinct,73,32-73,292,37.82,,,,,2.99,,,,0,,,,0,0.28,0.51,0.46,,,,,,,,,,,49.32,,50.68
Precinct,74,32-74,437,48.45,,,,,5.21,,,,0,,,,0,0.58,0.77,0.51,,,,,,,,,,,49.43,,50.57
Precinct,75,32-75,604,43.17,,,,,2.74,,,,0,,,,0,0.79,0.78,1.09,,,,,,,,,,,14.74,,85.26
Precinct,76,32-76,196,41.26,,,,,2.97,,,,0,,,,0,0.23,0.29,0.32,,,,,,,,,,,21.43,,78.57
Precinct,77,32-77,465,32.86,,,,,2.52,,,,0,,,,0,0.71,0.66,0.6,,,,,,,,,,,25.59,,74.41
Precinct,78,32-78,510,33.33,,,,,3.23,,,,0,,,,0,0.87,0.62,0.74,,,,,,,,,,,36.67,,62.55
Precinct,79,32-79,619,39.91,,,,,3.43,,,,0,,,,0,1.02,0.74,0.96,,,,,,,,,,,46.53,,53.47
Precinct,87,32-87,306,44.8,,,,,2.55,,,,0,,,,0,0.4,0.45,0.47,,,,,,,,,,,24.51,,75.49
Precinct,88,32-88,403,35.7,,,,,2.89,,,,0,,,,0,0.47,0.61,0.66,,,,,,,,,,,22.08,,77.92
Precinct,89,32-89,237,28.55,,,,,2.87,,,,0,,,,0,0.31,0.45,0.2,,,,,,,,,,,16.03,,83.54
Precinct,90,32-90,419,47.83,,,,,1.18,,,,0,,,,0,0.53,0.51,0.81,,,,,,,,,,,16.23,,82.58
Precinct,91,32-91,402,39.68,,,,,2.43,,,,0,,,,0,0.52,0.73,0.39,,,,,,,,,,,48.01,,51.74
Precinct,92,32-92,466,40.66,,,,,1.89,,,,0,,,,0,0.42,0.64,1.02,,,,,,,,,,,47.64,,52.36
Precinct,93,32-93,412,33.97,,,,,4.19,,,,0,,,,0,0.5,0.6,0.72,,,,,,,,,,,17.72,,82.28
Precinct,94,32-94,365,36.35,,,,,3.18,,,,0,,,,0,0.54,0.63,0.33,,,,,,,,,,,37.26,,62.47
Precinct,97,32-97,299,26.23,,,,,1.64,,,,0,,,,0,0.43,0.44,0.39,,,,,,,,,,,42.47,,57.53
Precinct,98,32-98,293,19.55,,,,,0.0,,,,0,,,,0,0.44,0.31,0.53,,,,,,,,,,,29.35,,70.65
Precinct,99,32-99,580,50.7,,,,,5.69,,,,0,,,,0,0.9,1.01,0.53,,,,,,,,,,,32.76,,67.24
Precinct,100,32-100,605,52.61,,,,,2.89,,,,0,,,,0,1.04,0.67,0.96,,,,,,,,,,,46.94,,53.06
Precinct,102,32-102,235,71.65,,,,,4.08,,,,0,,,,0,0.44,0.26,0.34,,,,,,,,,,,45.53,,54.47
Precinct,103,32-103,98,50.52,,,,,6.67,,,,0,,,,0,0.25,0.13,0.04,,,,,,,,,,,44.9,,55.1
Precinct,104,32-104,153,79.27,,,,,4.38,,,,0,,,,0,0.25,0.18,0.26,,,,,,,,,,,33.99,,66.01
Precinct,105,32-105,260,66.67,,,,,2.26,,,,0,,,,0,0.52,0.32,0.24,,,,,,,,,,,58.85,,41.15
Precinct,106,32-106,215,71.67,,,,,4.02,,,,0,,,,0,0.58,0.23,0.09,,,,,,,,,,,33.49,,66.51
Precinct,1,49-1,513,43.47,,,,,1.54,,,,0,,,,0,1.0,0.53,0.69,,,,,,,,39.57,,,,,60.43
Precinct,2,49-2,668,48.55,,,,,2.91,,,,0,,,,0,0.98,1.07,0.73,,,,,,,,40.87,,,,,59.13
Precinct,3,49-3,666,49.26,,,,,2.77,,,,0,,,,0,0.93,0.87,1.11,,,,,,,,38.44,,,,,61.56
Precinct,4,49-4,658,60.93,,,,,1.5,,,,0,,,,0,0.9,0.88,1.04,,,,,,,,53.5,,,,,46.5
Precinct,5,49-5,648,59.4,,,,,1.82,,,,0,,,,0,0.95,0.85,0.97,,,,,,,,51.54,,,,,48.46
